Ano,Instituição,Conta,Valor,População,Variacao_Valor,Variacao_Populacao,Variacao_População,Valor_k,Populacao_k
2017,Prefeitura Municipal de Armação dos Búzios - RJ,IPTU,762910608.5,31370.5,43.80558596953967,0.9769208484887493,,6,6
2018,Prefeitura Municipal de Armação dos Búzios - RJ,IPTU,995305936.0,31674.0,30.46167203742587,0.9674694378476678,,6,6
2019,Prefeitura Municipal de Armação dos Búzios - RJ,IPTU,1306246982.0,33240.0,31.240750683114584,4.94411820420535,,6,6
2020,Prefeitura Municipal de Armação dos Búzios - RJ,IPTU,1532813737.0,33870.0,17.34486342338588,1.895306859205781,,6,6
2021,Prefeitura Municipal de Armação dos Búzios - RJ,IPTU,8564402314.0,34477.0,458.73731473480393,1.7921464422792965,,6,6
2022,Prefeitura Municipal de Armação dos Búzios - RJ,IPTU,1474429470.0,35060.0,-82.78421055034057,1.6909823940598034,,6,6
2023,Prefeitura Municipal de Armação dos Búzios - RJ,IPTU,2607836390.0,35060.0,76.87088077532795,0.0,,6,6
2024,Prefeitura Municipal de Armação dos Búzios - RJ,IPTU,4306717969.266724,36164.44999999995,76.87088077532795,,0.0,6,6
2025,Prefeitura Municipal de Armação dos Búzios - RJ,IPTU,4752397635.295288,36829.64999999991,76.87088077532795,,0.0,6,6
2017,Prefeitura Municipal de Armação dos Búzios - RJ,ISS,618317164.5,31370.5,-3.968101455848827,0.9769208484887493,,6,6
2018,Prefeitura Municipal de Armação dos Búzios - RJ,ISS,592767891.0,31674.0,-4.132066028065118,0.9674694378476678,,6,6
2019,Prefeitura Municipal de Armação dos Búzios - RJ,ISS,2430878002.0,33240.0,310.0893518201714,4.94411820420535,,6,6
2020,Prefeitura Municipal de Armação dos Búzios - RJ,ISS,2282529232.0,33870.0,-6.10268264709074,1.895306859205781,,6,6
2021,Prefeitura Municipal de Armação dos Búzios - RJ,ISS,4780336999.0,34477.0,109.43157844297873,1.7921464422792965,,6,6
2022,Prefeitura Municipal de Armação dos Búzios - RJ,ISS,1144806879.0,35060.0,-76.05175368934277,1.6909823940598034,,6,6
2023,Prefeitura Municipal de Armação dos Búzios - RJ,ISS,2457550226.0,35060.0,114.66941464805784,0.0,,6,6
2024,Prefeitura Municipal de Armação dos Búzios - RJ,ISS,3285714692.2738037,36164.44999999995,114.66941464805784,,0.0,6,6
2025,Prefeitura Municipal de Armação dos Búzios - RJ,ISS,3606115983.613037,36829.64999999991,114.66941464805784,,0.0,6,6
2017,Prefeitura Municipal de Armação dos Búzios - RJ,ITBI,285436738.5,31370.5,30.37205661359801,0.9769208484887493,,6,6
2018,Prefeitura Municipal de Armação dos Búzios - RJ,ITBI,351933356.0,31674.0,23.2964466485452,0.9674694378476678,,6,6
2019,Prefeitura Municipal de Armação dos Búzios - RJ,ITBI,617907943.0,33240.0,75.57527084758627,4.94411820420535,,6,6
2020,Prefeitura Municipal de Armação dos Búzios - RJ,ITBI,1075122924.0,33870.0,73.99402875130218,1.895306859205781,,6,6
2021,Prefeitura Municipal de Armação dos Búzios - RJ,ITBI,1232969516.0,34477.0,14.681725082442764,1.7921464422792965,,6,6
2022,Prefeitura Municipal de Armação dos Búzios - RJ,ITBI,709477222.0,35060.0,-42.45784564879705,1.6909823940598034,,6,6
2023,Prefeitura Municipal de Armação dos Búzios - RJ,ITBI,846442018.0,35060.0,19.30503076813366,0.0,,6,6
2024,Prefeitura Municipal de Armação dos Búzios - RJ,ITBI,1161779265.8571167,36164.44999999995,19.30503076813366,,0.0,6,6
2025,Prefeitura Municipal de Armação dos Búzios - RJ,ITBI,1269139866.7546387,36829.64999999991,19.30503076813366,,0.0,6,6
2017,Prefeitura Municipal de Arraial do Cabo - RJ,IPTU,696656476.0,29077.0,,,,6,6
2018,Prefeitura Municipal de Arraial do Cabo - RJ,IPTU,329427105.0,29077.0,-52.71312097872467,0.0,,6,6
2019,Prefeitura Municipal de Arraial do Cabo - RJ,IPTU,212960320.0,30096.0,-35.35434189606226,3.504488083364854,,6,6
2020,Prefeitura Municipal de Arraial do Cabo - RJ,IPTU,1670943762.0,30349.0,684.6268084120084,0.8406432748538029,,6,6
2021,Prefeitura Municipal de Arraial do Cabo - RJ,IPTU,288674350.0,30593.0,-82.7238739827798,0.8039803617911678,,6,6
2022,Prefeitura Municipal de Arraial do Cabo - RJ,IPTU,1192975296.0,30827.0,313.2598881750318,0.7648808550975605,,6,6
2023,Prefeitura Municipal de Arraial do Cabo - RJ,IPTU,1550985191.0,30827.0,30.00983307872287,0.0,,6,6
2024,Prefeitura Municipal de Arraial do Cabo - RJ,IPTU,1453319325.8428345,31414.471428571385,30.00983307872287,,0.0,6,6
2025,Prefeitura Municipal de Arraial do Cabo - RJ,IPTU,1606021970.1142578,31740.15714285709,30.00983307872287,,0.0,6,6
2017,Prefeitura Municipal de Arraial do Cabo - RJ,ISS,145951408.0,29077.0,,,,6,6
2018,Prefeitura Municipal de Arraial do Cabo - RJ,ISS,596761288.0,29077.0,308.8766913437381,0.0,,6,6
2019,Prefeitura Municipal de Arraial do Cabo - RJ,ISS,477765748.0,30096.0,-19.94022440678156,3.504488083364854,,6,6
2020,Prefeitura Municipal de Arraial do Cabo - RJ,ISS,517143742.0,30349.0,8.242113245841143,0.8406432748538029,,6,6
2021,Prefeitura Municipal de Arraial do Cabo - RJ,ISS,220633454.0,30593.0,-57.336145430915806,0.8039803617911678,,6,6
